Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 806, 88, -595, 34.1, 4-1, g_llop, Wolf, 0-069-354-240, BORN, , , , , , 1
0, 703, 107, -597, 33.9, 5-35, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 840, 60, -687, 34.4, 5-36, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 769, 72, -503, 34.3, 5-37, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 668, 136, -686, 33.6, 5-38, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 780, 118, -629, 33.8, 5-39, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 709, 128, -558, 33.7, 5-40, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 717, 107, -585, 33.9, 5-41, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 719, 189, -685, 33.1, 5-42, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 803, 91, -639, 34.1, 5-43, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 679, 125, -591, 33.7, 5-44, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 653, 121, -612, 33.8, 5-45, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 796, 91, -595, 34.1, 5-46, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 842, 103, -641, 34.0, 5-47, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 778, 105, -607, 33.9, 5-48, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 766, 111, -586, 33.9, 5-49, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 805, 85, -603, 34.1, 5-50, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 782, 108, -625, 33.9, 5-51, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 837, 121, -623, 33.8, 5-52, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 808, 89, -665, 34.1, 5-53, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 769, 152, -642, 33.5, 5-54, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 796, 84, -617, 34.2, 5-55, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 763, 109, -600, 33.9, 5-56, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 766, 130, -627, 33.7, 6-57, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 762, 160, -644, 33.4, 6-58, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 813, 85, -637, 34.1, 6-59, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 795, 114, -659, 33.9, 6-60, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 824, 71, -668, 34.3, 6-61, g_vaca, Cow, 0-069-354-212, BORN, , , , , , 1
0, 858, 99, -646, 34.0, 6-62, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 866, 104, -634, 34.0, 6-63, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 865, 102, -636, 34.0, 6-64, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
